chembl_id,name,smiles,first_approval
CHEMBL428,Trovafloxacin,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,1997.0
CHEMBL30,Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,1977.0
CHEMBL31,Gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1999.0
CHEMBL429,Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1984.0
CHEMBL32,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1999.0
CHEMBL33,Levofloxacin Anhydrous,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1996.0
CHEMBL430,Gemifloxacin,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,2003.0
CHEMBL431,Spirapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1994.0
CHEMBL433,Valproate Sodium,CCCC(CCC)C(=O)[O-].[Na+],1996.0
CHEMBL434,Isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,1956.0
CHEMBL435,Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1959.0
CHEMBL35,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1966.0
CHEMBL36,Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1953.0
CHEMBL436,Tolrestat,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,1989.0
CHEMBL437,Sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1945.0
CHEMBL438,Sulfamerazine,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,1982.0
CHEMBL439,Sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1941.0
CHEMBL440,Thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,1982.0
CHEMBL441,Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1982.0
CHEMBL268164,Cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,
CHEMBL442,Ergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1948.0
CHEMBL38,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1971.0
CHEMBL7413,Methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1960.0
CHEMBL40,Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2022.0
CHEMBL41,Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1987.0
CHEMBL443,Sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1973.0
CHEMBL444,Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,
CHEMBL42,Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1989.0
CHEMBL445,Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,1964.0
CHEMBL446,Sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1949.0
CHEMBL447,Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1950.0
CHEMBL448,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1973.0
CHEMBL7568,Quinacrine,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,
CHEMBL267894,Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,
CHEMBL7728,Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,
CHEMBL449,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1939.0
CHEMBL7863,Aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,
CHEMBL450,Metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1982.0
CHEMBL451,Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,1960.0
